Álbum,Música,Duração
The Life Aquatic Studio Sessions,Ziggy Stardust,221.933
The Life Aquatic Studio Sessions,Queen Bitch,220.933
The Life Aquatic Studio Sessions,Oh! You Pretty Things,212.546
The Life Aquatic Studio Sessions,Lady Stardust,209.16
The Life Aquatic Studio Sessions,Life On Mars?,209.066
The Life Aquatic Studio Sessions,Starman,195.813
The Life Aquatic Studio Sessions,Suffragette City,190.466
The Life Aquatic Studio Sessions,Rock 'N' Roll Suicide,188.6
The Life Aquatic Studio Sessions,When I Live My Dream,173.613
The Life Aquatic Studio Sessions,Rebel Rebel,165.466
The Life Aquatic Studio Sessions,Team Zissou,152.2
