Álbum,Música,Popularidade
The Life Aquatic Studio Sessions,Rebel Rebel,51
The Life Aquatic Studio Sessions,Life On Mars?,46
The Life Aquatic Studio Sessions,Starman,44
The Life Aquatic Studio Sessions,Ziggy Stardust,36
The Life Aquatic Studio Sessions,Team Zissou,35
The Life Aquatic Studio Sessions,Oh! You Pretty Things,34
The Life Aquatic Studio Sessions,Lady Stardust,33
The Life Aquatic Studio Sessions,Rock 'N' Roll Suicide,33
The Life Aquatic Studio Sessions,Suffragette City,31
The Life Aquatic Studio Sessions,Queen Bitch,31
The Life Aquatic Studio Sessions,When I Live My Dream,30
